관광지명(소재지역),위도,경도,주소
고창고인돌박물관,35.44165831,126.6524395,전북특별자치도 고창군 고창읍 도산리 676
고창동호해수욕장,35.51826666,126.483572,전북특별자치도 고창군 해리면 동호리
고창무장동학농민혁명기포지,35.40432539,126.4958499,전북특별자치도 고창군 공음면 구암리
고창무장현관아와읍성,35.41773826,126.5578565,전북특별자치도 고창군 무장면 성내리 309
고창분청사기요지,35.53885521,126.6562772,전북특별자치도 고창군 부안면 수동리 산 11
고창선운사,35.49723407,126.578159,전북특별자치도 고창군 아산면 삼인리 500
고창운곡람사르습지,35.47529044,126.6325808,전북특별자치도 고창군 아산면 용계리 212
고창읍성,35.42973105,126.7048689,전북특별자치도 고창군 고창읍 읍내리 산 9
고창청농원,35.37233342,126.535704,전북특별자치도 고창군 공음면 용수리 681-2
고창판소리박물관,35.43246932,126.7026961,전북특별자치도 고창군 고창읍 읍내리 241-1
고창향교,35.43746975,126.7026689,전북특별자치도 고창군 고창읍 교촌리 248-1
구시포해수욕장,35.44572344,126.4353838,전북특별자치도 고창군 상하면 자룡리 520-46
꽃객프로젝트,35.50269462,126.6264248,전북특별자치도 고창군 부안면 용산리 409-1
도솔암(고창),35.48091406,126.5641752,전북특별자치도 고창군 아산면 삼인리 618
무장향교,35.42770055,126.566083,전북특별자치도 고창군 무장면 교흥리 109-1
문수사(고창),35.38096492,126.7257987,전북특별자치도 고창군 고수면 은사리 48
미당서정주생가,35.53541643,126.6080043,전북특별자치도 고창군 부안면 선운리 578
보리나라학원농장,35.37534424,126.5429058,전북특별자치도 고창군 공음면 예전리 469-4
상원사(고창),35.44346171,126.7343838,전북특별자치도 고창군 고창읍 월곡리 2
서해안바람공원,35.53093825,126.5137855,전북특별자치도 고창군 심원면 만돌리 735-1
석정온천휴스파,35.43217985,126.7413951,전북특별자치도 고창군 고창읍 석정리 733
선운산(전북서해안권국가지질공원),35.49867527,126.568986,전북특별자치도 고창군 심원면 연화리 산 130
선운산생태숲,35.50116162,126.5837773,전북특별자치도 고창군 아산면 삼인리 394-42
신림저수지,35.46868326,126.7131738,전북특별자치도 고창군 신림면 세곡리 406
용추폭포(고창),35.47075778,126.7417839,전북특별자치도 고창군 신림면 신평리 산 32
용화사(고창),35.43081159,126.69861,전북특별자치도 고창군 고창읍 읍내리 404-12
운곡서원(고창),35.46966436,126.6513804,전북특별자치도 고창군 아산면 운곡리 179
참당암(고창),35.49306037,126.5637745,전북특별자치도 고창군 아산면 삼인리 605
화동서원(고창),35.34431263,126.5861762,전북특별자치도 고창군 대산면 매산리 743-1
황윤석생가,35.56036713,126.7551509,전북특별자치도 고창군 성내면 조동리 353-1
흥덕향교,35.52640136,126.6931505,전북특별자치도 고창군 흥덕면 교운리 206
국립신시도자연휴양림,35.82818745,126.446866,전북특별자치도 군산시 옥도면 신시도리 산 17-1
군산3.1운동100주년기념관,35.98697679,126.7423835,전북특별자치도 군산시 구암동 358-2
군산근대역사박물관,35.9908255,126.7120575,전북특별자치도 군산시 장미동 1-67
군산해망굴,35.99131808,126.7048496,전북특별자치도 군산시 해망동
금강하구둑(군산),36.02058535,126.7646869,전북특별자치도 군산시 성산면 성덕리 411-1
동국사(군산),35.9827663,126.7074296,전북특별자치도 군산시 금광동 135-1
무녀도?선유도,35.80539559,126.4243613,전북특별자치도 군산시 옥도면 무녀도리 183
보천사(군산),36.01221571,126.8536658,전북특별자치도 군산시 서수면 축동리 634
불주사(불지사),36.02479914,126.8468173,전북특별자치도 군산시 나포면 장상리 838
비안도,35.73888967,126.4536085,전북특별자치도 군산시 옥도면 비안도리
상주사,36.0007683,126.8522318,전북특별자치도 군산시 서수면 축동리 544
새만금무궁화공원,35.81350967,126.4824703,전북특별자치도 김제시 진봉면 심포리 2416
새만금비응공원,35.94388588,126.5383907,전북특별자치도 군산시 비응도동
새만금어린이랜드,35.94699172,126.5884964,전북특별자치도 군산시 오식도동 841
새만금유람선,35.82376057,126.4163806,전북특별자치도 군산시 옥도면 선유도리 90-1
야미도,35.84189787,126.492777,전북특별자치도 군산시 옥도면 야미도리
어청도,36.11971119,125.9796586,전북특별자치도 군산시 옥도면 어청도리
염의서원,35.94033448,126.7142334,전북특별자치도 군산시 옥산면 당북리 723-1
옥돌해수욕장,35.8075612,126.410029,전북특별자치도 군산시 옥도면 선유도리 산 65
우체통거리,35.98599649,126.7119708,전북특별자치도 군산시 신창동
