관광지명(소재지역),위도,경도,주소
강남축구공원,37.7430777,128.9062351,강원특별자치도 강릉시 노암동 142-5
강릉경포대,37.79507416,128.8966363,강원특별자치도 강릉시 저동 94
강릉경포해수욕장,37.80340551,128.9102102,강원특별자치도 강릉시 강문동 산 1
강릉굴산사지,37.70727975,128.8918198,강원특별자치도 강릉시 구정면 학산리 1181
강릉농산물도매시장,37.73665024,128.9181667,강원특별자치도 강릉시 유산동 160-1
강릉동부시장,37.76000955,128.9009055,강원특별자치도 강릉시 옥천동 223
강릉선교장,37.78664257,128.8851742,강원특별자치도 강릉시 운정동 431
강릉솔향수목원,37.69780318,128.8614667,강원특별자치도 강릉시 구정면 구정리 산 147-1
강릉아트센터,37.77171286,128.8953402,강원특별자치도 강릉시 교동 408
강릉월화거리,37.75590982,128.8974965,강원특별자치도 강릉시 임당동 106-1
강릉중앙시장,37.75402512,128.8986238,강원특별자치도 강릉시 성남동 50
강릉커피거리,37.7726536,128.9472416,강원특별자치도 강릉시 견소동 287-90
강릉항,37.77281071,128.9530415,강원특별자치도 강릉시 견소동 286-10
강릉향교,37.76352734,128.8952583,강원특별자치도 강릉시 교동 233
강문해변,37.79482074,128.9191753,강원특별자치도 강릉시 강문동 182-1
경포생태저류지,37.78170754,128.8847379,강원특별자치도 강릉시 죽헌동 757
국립대관령자연휴양림,37.71266263,128.785962,강원특별자치도 강릉시 성산면 어흘리 산 2-1
국립대관령치유의숲,37.70756257,128.7990722,강원특별자치도 강릉시 성산면 어흘리 산 2-31
금강사(강릉),37.80609966,128.6906102,강원특별자치도 강릉시 연곡면 삼산리 산 333
금진해변,37.63894835,129.0442585,강원특별자치도 강릉시 옥계면 금진리
남항진해변(남항진해수욕장),37.76433371,128.954844,강원특별자치도 강릉시 남항진동 산 7-3
노암터널,37.74808932,128.9071669,강원특별자치도 강릉시 노암동 200-4
노인봉,37.78266693,128.6397835,강원특별자치도 강릉시 연곡면 삼산리 산 1-2
단경골휴양지,37.67200692,128.9165836,강원특별자치도 강릉시 강동면 언별리 1425
대관령박물관,37.7167654,128.8040465,강원특별자치도 강릉시 성산면 어흘리 374-3
대굴령마을,37.72294124,128.8149887,강원특별자치도 강릉시 성산면 구산리 565
도직해변,37.6059562,129.0723329,강원특별자치도 강릉시 옥계면 도직리 97-12
뒷뜨루관광농원,37.83529927,128.8370302,강원특별자치도 강릉시 사천면 석교리 399-1
등명락가사(강릉),37.71133744,129.0063607,강원특별자치도 강릉시 강동면 정동진리 산 17
등명해변(등명해수욕장),37.70401976,129.0169289,강원특별자치도 강릉시 강동면 정동진리 490-1
디자인씽킹뮤지엄,37.72925037,128.8742403,강원특별자치도 강릉시 구정면 여찬리 573-2
명주예술마당,37.75037214,128.8898308,강원특별자치도 강릉시 명주동 49-1
모래시계공원,37.68710578,129.0379797,강원특별자치도 강릉시 강동면 정동진리 7-1
보현사(강릉),37.73663574,128.7694002,강원특별자치도 강릉시 성산면 보광리 1171
