관광지명(소재지역),위도,경도,주소
1100고지습지,33.35801935,126.4636297,제주특별자치도 서귀포시 색달동 산 1-1
5.16도로숲터널,33.3666647,126.624959,제주특별자치도 서귀포시 남원읍 신례리
WE호텔,33.2861974,126.4440806,제주특별자치도 서귀포시 회수동 30
가문이오름(감은이오름),33.40213611,126.6882072,제주특별자치도 서귀포시 표선면 가시리 산 158-2
가세오름,33.33014143,126.7813191,제주특별자치도 서귀포시 표선면 토산리 산 5
가시오름,33.24704705,126.2431502,제주특별자치도 서귀포시 대정읍 동일리 1706
가파도,33.17001212,126.2714103,제주특별자치도 서귀포시 대정읍 가파리 276
감귤박물관,33.27156161,126.607467,제주특별자치도 서귀포시 신효동 1200-6
갑선이오름,33.36085587,126.7816635,제주특별자치도 서귀포시 표선면 가시리 산 2
강정천,33.23266591,126.4894282,제주특별자치도 서귀포시 강정동 5647
강정포구,33.22711551,126.4755614,제주특별자치도 서귀포시 강정동 4965-1
개오름,33.42256836,126.771856,제주특별자치도 서귀포시 표선면 성읍리 2974
거린사슴,33.30960512,126.4542363,제주특별자치도 서귀포시 대포동 산 2-1
건강과성박물관(제주),33.25489914,126.346663,제주특별자치도 서귀포시 안덕면 감산리 1404
고근산,33.26679186,126.5128719,제주특별자치도 서귀포시 서호동 1286-1
광치기해변,33.45252086,126.9241933,제주특별자치도 서귀포시 성산읍 고성리 224-1
구두리오름,33.4099608,126.6880416,제주특별자치도 서귀포시 표선면 가시리 산 158-2
구두미포구,33.23671675,126.5966318,제주특별자치도 서귀포시 보목동
군산오름,33.25323961,126.3699703,제주특별자치도 서귀포시 안덕면 창천리 산 3-1
금호제주리조트,33.27324563,126.7018417,제주특별자치도 서귀포시 남원읍 남원리 2390
낙타트레킹,33.40269826,126.7786436,제주특별자치도 서귀포시 표선면 성읍리 2684
남원큰엉해안,33.27335018,126.70371,제주특별자치도 서귀포시 남원읍 남원리 2379-3
노리매공원,33.28311468,126.2873393,제주특별자치도 서귀포시 대정읍 구억리 654-1
논짓물,33.23720781,126.3892936,제주특별자치도 서귀포시 하예동 532-3
다이나믹메이즈(제주성읍점),33.39915757,126.785287,제주특별자치도 서귀포시 표선면 성읍리 2381
당케포구,33.32645163,126.8467407,제주특별자치도 서귀포시 표선면 표선리 1-3
대록산(큰사슴이오름),33.39914417,126.729544,제주특별자치도 서귀포시 표선면 가시리 산 68-9
대유ATV수렵사격랜드,33.27778323,126.3953497,제주특별자치도 서귀포시 상예동 144
대정성지,33.24983333,126.2787021,제주특별자치도 서귀포시 대정읍 안성리 1644-1
대정향교,33.23954399,126.288384,제주특별자치도 서귀포시 안덕면 사계리 3126-1
대평포구,33.23721144,126.3616436,제주특별자치도 서귀포시 안덕면 감산리 982-5
대포포구,33.2376824,126.4391434,제주특별자치도 서귀포시 대포동
대포해안주상절리,33.23798495,126.4260111,제주특별자치도 서귀포시 중문동 2768-1
도너리오름,33.32569857,126.3213432,제주특별자치도 제주시 한림읍 금악리 산 60
도순다원,33.27307489,126.4828604,제주특별자치도 서귀포시 도순동 1-1
돈내코유원지,33.30036663,126.5841333,제주특별자치도 서귀포시 상효동 1459
동백포레스트,33.30030815,126.6361981,제주특별자치도 서귀포시 남원읍 신례리 1767
동일리포구,33.22551494,126.2402193,제주특별자치도 서귀포시 대정읍 동일리
드르쿰다in성산,33.44451312,126.9190852,제주특별자치도 서귀포시 성산읍 고성리 372-1
따라비오름,33.38870699,126.7528584,제주특별자치도 서귀포시 표선면 가시리 산 63
마라도(마라해양도립공원),33.17546014,126.2880007,제주특별자치도 서귀포시 대정읍 가파리 1
머체왓숲길,33.33234808,126.6663211,제주특별자치도 서귀포시 남원읍 한남리 1622-3
모구리오름,33.40901928,126.8286449,제주특별자치도 서귀포시 성산읍 난산리 2960-1
모슬포중앙시장,33.22184562,126.2548699,제주특별자치도 서귀포시 대정읍 하모리 822-7
모지오름,33.39361693,126.7681385,제주특별자치도 서귀포시 표선면 성읍리 산 22
목장카페드르쿰다,33.40945971,126.7703379,제주특별자치도 서귀포시 표선면 성읍리 2873
물영아리오름,33.36839465,126.6920637,제주특별자치도 서귀포시 남원읍 수망리 산 188
바이나흐튼크리스마스박물관,33.2913121,126.3277987,제주특별자치도 서귀포시 안덕면 서광리 456
박물관은살아있다(제주중문점),33.25492848,126.408741,제주특별자치도 서귀포시 색달동 2629
백약이오름,33.43680941,126.7897582,제주특별자치도 서귀포시 표선면 성읍리 산 1
법화사,33.26532872,126.4576028,제주특별자치도 서귀포시 하원동 1071-1
법환포구,33.23726072,126.5156065,제주특별자치도 서귀포시 법환동 286-3
베릿네오름,33.24733194,126.4215055,제주특별자치도 서귀포시 중문동 3712
보롬왓,33.41349708,126.7524958,제주특별자치도 서귀포시 표선면 성읍리 3229-4
보목포구,33.23917718,126.6081568,제주특별자치도 서귀포시 보목동
본태박물관,33.3037709,126.3924797,제주특별자치도 서귀포시 안덕면 상천리 380
붉은오름자연휴양림,33.40149008,126.6753618,제주특별자치도 서귀포시 표선면 가시리 산 158
빛의벙커,33.43987509,126.8992114,제주특별자치도 서귀포시 성산읍 고성리 2040-1
사계해안,33.21675421,126.2933526,제주특별자치도 서귀포시 안덕면 사계리
사라오름,33.37193619,126.5708756,제주특별자치도 서귀포시 남원읍 신례리 산 2-1
삼매봉,33.24397192,126.5463088,제주특별자치도 서귀포시 서홍동 819
상효원수목원/상효원,33.30595838,126.584635,제주특별자치도 서귀포시 상효동 산 25
새섬공원,33.23711194,126.560009,제주특별자치도 서귀포시 서귀동
서건도,33.22999483,126.4986272,제주특별자치도 서귀포시 강정동 산 1
서귀다원,33.3121479,126.5969205,제주특별자치도 서귀포시 상효동 1155-17
서귀본향당,33.24631069,126.5647079,제주특별자치도 서귀포시 서귀동 534-2
서귀포김정희유배지,33.25040562,126.2781963,제주특별자치도 서귀포시 대정읍 안성리 1661-1
서귀포매일올레시장,33.25015006,126.5632316,제주특별자치도 서귀포시 서귀동 277-1
서귀포자연휴양림,33.31245946,126.4645574,제주특별자치도 서귀포시 하원동 산 1-1
서귀포천문과학문화관,33.28887327,126.4604181,제주특별자치도 서귀포시 하원동 산 70
서귀포치유의숲,33.29193935,126.5279042,제주특별자치도 서귀포시 호근동 산 4
서귀포하논분화구,33.251055,126.5450403,제주특별자치도 서귀포시 서홍동
서머셋제주신화월드,33.30282676,126.3172535,제주특별자치도 서귀포시 안덕면 서광리 산 24-15
서복전시관,33.2448625,126.570887,제주특별자치도 서귀포시 서귀동 100-2
석부작박물관,33.25045551,126.536521,제주특별자치도 서귀포시 호근동 569-2
선광사(제주),33.27271048,126.6993941,제주특별자치도 서귀포시 남원읍 남원리 2347-1
섭지코지,33.42393807,126.9306092,제주특별자치도 서귀포시 성산읍 고성리 87
섯알오름,33.20649191,126.2812168,제주특별자치도 서귀포시 대정읍 상모리 1593-2
성산포항종합여객터미널,33.4734202,126.9336898,제주특별자치도 서귀포시 성산읍 성산리 347-9
성읍랜드,33.39863403,126.7870339,제주특별자치도 서귀포시 표선면 성읍리 2045-1
성읍민속마을,33.38495973,126.8014989,제주특별자치도 서귀포시 표선면 성읍리 855-1
세계술박물관,33.35397317,126.8176074,제주특별자치도 서귀포시 표선면 하천리 1814-1
세계자동차&피아노박물관,33.28375831,126.3498145,제주특별자치도 서귀포시 안덕면 상창리 2065-4
세계조가비박물관,33.24744339,126.5515832,제주특별자치도 서귀포시 서홍동 557-1
소남머리,33.24339616,126.569759,제주특별자치도 서귀포시 서귀동 94-1
소인국테마파크,33.28180497,126.3315427,제주특별자치도 서귀포시 안덕면 서광리 164
소정방폭포,33.24522641,126.5776345,제주특별자치도 서귀포시 토평동
소천지,33.23907593,126.5912648,제주특별자치도 서귀포시 보목동
솔오름(미악산),33.30083003,126.5544669,제주특별자치도 서귀포시 동홍동 2195
송악산,33.19908294,126.2897914,제주특별자치도 서귀포시 대정읍 상모리 산 2
송악카트체험장,33.20854144,126.2894072,제주특별자치도 서귀포시 대정읍 상모리 139
쇠소깍,33.25424607,126.6224051,제주특별자치도 서귀포시 하효동 990-1
신양섭지해수욕장,33.43510307,126.9234728,제주특별자치도 서귀포시 성산읍 고성리 186-2
신풍신천바다목장,33.35601232,126.863733,제주특별자치도 서귀포시 성산읍 신풍리 33
씨오르리조트,33.24244751,126.5185522,제주특별자치도 서귀포시 법환동 87-1
아쿠아플라넷제주,33.43306804,126.9278459,제주특별자치도 서귀포시 성산읍 고성리 127-3
아프리카박물관,33.23974044,126.4293493,제주특별자치도 서귀포시 대포동 1833
안덕계곡,33.25720217,126.3525826,제주특별자치도 서귀포시 안덕면 감산리 1946
약천사(제주),33.24623622,126.4494585,제주특별자치도 서귀포시 대포동 1165
엉또폭포,33.26853216,126.4999655,제주특별자치도 서귀포시 강정동 5628
여미지식물원,33.25260678,126.4142595,제주특별자치도 서귀포시 색달동 2484-1
예래포구(하예포구),33.2339559,126.3753614,제주특별자치도 서귀포시 하예동
오늘은카트레이싱,33.38155972,126.7905232,제주특별자치도 서귀포시 표선면 성읍리 2197-16
오백나한,33.35653848,126.5020585,제주특별자치도 서귀포시 하원동
오설록티뮤지엄,33.3059196,126.2894903,제주특별자치도 서귀포시 안덕면 서광리 1235-1
오조포구,33.46324985,126.9210299,제주특별자치도 서귀포시 성산읍 오조리
옷귀마테마타운,33.34049925,126.683389,제주특별자치도 서귀포시 남원읍 한남리 1631-1
외돌개(제주),33.23903382,126.5448623,제주특별자치도 서귀포시 서홍동 791
용머리해안,33.23165676,126.3147366,제주특별자치도 서귀포시 안덕면 사계리
웃세오름,33.36035534,126.5207017,제주특별자치도 서귀포시 서호동 산 183-1
위미동백나무군락,33.27293872,126.6747306,제주특별자치도 서귀포시 남원읍 위미리 903-1
위미항,33.26992066,126.6614454,제주특별자치도 서귀포시 남원읍
유민미술관,33.42919718,126.9322309,제주특별자치도 서귀포시 성산읍 고성리 21
유채꽃프라자,33.39370483,126.731674,제주특별자치도 서귀포시 표선면 가시리 3665-85
이상한나라의앨리스,33.2889975,126.3216275,제주특별자치도 서귀포시 안덕면 서광리 717-3
이승이오름(이승악),33.34014979,126.622239,제주특별자치도 서귀포시 남원읍 신례리 산 2-4
이중섭문화거리,33.24761378,126.5640039,제주특별자치도 서귀포시 서귀동 370-21
이중섭미술관,33.24590378,126.564888,제주특별자치도 서귀포시 서귀동 532-1
일출랜드,33.38340256,126.8415811,제주특별자치도 서귀포시 성산읍 삼달리 1010
자구리문화예술공원(자구리공원),33.24174695,126.5673829,제주특별자치도 서귀포시 서귀동 6
점보빌리지,33.27627648,126.3051056,제주특별자치도 서귀포시 안덕면 서광리 2351
정방폭포,33.24490888,126.5715263,제주특별자치도 서귀포시 서귀동
정의향교,33.38679736,126.7998955,제주특별자치도 서귀포시 표선면 성읍리 820-1
제주공룡동물농장,33.44125472,126.4338709,제주특별자치도 제주시 애월읍 광령리 2677-1
제주국제평화센터,33.24516847,126.421597,제주특별자치도 서귀포시 중문동 2571
제주다원녹차미로공원,33.29212511,126.4206915,제주특별자치도 서귀포시 색달동 산 52
제주동백수목원,33.27497498,126.6779915,제주특별자치도 서귀포시 남원읍 위미리 927
제주민속촌,33.32239595,126.8422973,제주특별자치도 서귀포시 표선면 표선리 40-1
제주산방산,33.2415643,126.3133696,제주특별자치도 서귀포시 안덕면 사계리 산 16
제주산방산탄산온천,33.24890927,126.2987402,제주특별자치도 서귀포시 안덕면 사계리 981
제주서커스월드공연장,33.314364,126.3445961,제주특별자치도 서귀포시 안덕면 동광리 886
제주세계성문화박물관,33.24577538,126.5081728,제주특별자치도 서귀포시 법환동 914
제주유리박물관,33.27854172,126.3701579,제주특별자치도 서귀포시 상예동 4303
제주이중섭거리,33.24761378,126.5640039,제주특별자치도 서귀포시 서귀동 370-21
제주자연생태공원,33.4401587,126.8237765,제주특별자치도 서귀포시 성산읍 수산리 4711-1
제주초콜릿랜드,33.24940041,126.4134525,제주특별자치도 서귀포시 색달동 2864-36
제주커피박물관바움,33.43977682,126.8992116,제주특별자치도 서귀포시 성산읍 고성리 2040-1
제주특별자치도립기당미술관,33.24488858,126.5511971,제주특별자치도 서귀포시 서홍동 621
