관광지명(소재지역),위도,경도,주소
1913송정역시장,35.13642559,126.7919428,광주 광산구 송정동 990-18
광주송정공원,35.14784392,126.8004603,광주 광산구 신촌동 산 4-1
광주수완호수공원,35.18946701,126.8201879,광주 광산구 장덕동
송산유원지,35.16046926,126.7359227,광주 광산구 송산동 175-1
월봉서원,35.23586006,126.745188,광주 광산구 광산동 452
유애서원,35.18440016,126.8053906,광주 광산구 흑석동 206
광주공원,35.14684928,126.9091795,광주 남구 구동 21-1
광주사직공원,35.14141845,126.912675,광주 남구 양림동 108-10
광주서강사,35.13002068,126.9218683,광주 남구 방림동 82-1
광주포충사,35.09026207,126.8483745,광주 남구 원산동 775
빛고을농촌테마공원,35.08449051,126.8675344,광주 남구 양과동 1237-5
사직공원전망타워,35.14163935,126.911527,광주 남구 양림동 315
5·18민주화운동기록관,35.14956693,126.9167674,광주 동구 금남로3가 3-5
광주대인시장(대인예술시장),35.15389078,126.916808,광주 동구 대인동 309-6
광주예술의거리,35.14965041,126.9189216,광주 동구 궁동 52-2
국립아시아문화전당,35.14733372,126.9213535,광주 동구 광산동 13
남광주시장,35.13925747,126.9212845,광주 동구 학동 55
동명동카페거리,35.14265987,126.9142802,광주 남구 사동 121-1
약사암(광주),35.12236305,126.9722179,광주 동구 운림동 11
원각사(광주),35.15091032,126.915988,광주 동구 금남로4가 51
전일빌딩245,35.1483415,126.9187166,광주 동구 금남로1가 1-1
증심사(광주),35.12857735,126.969689,광주 동구 운림동 56
지산유원지,35.14940005,126.9491012,광주 동구 지산동 산 56-1
푸른길분수공원,35.15341973,126.9271709,광주 동구 산수동
광주비엔날레전시관,35.1824687,126.8891256,광주 북구 용봉동 산 149-2
광주시립미술관,35.1833601,126.885688,광주 북구 운암동 산 42-3
광주시민의숲,35.23696216,126.8688371,광주 북구 월출동 968
광주역사민속박물관,35.18413027,126.8885459,광주 북구 용봉동 1004-4
광주패밀리랜드,35.22431406,126.8942424,광주 북구 생용동 산 127-2
광주호호수생태원,35.18420768,127.0011517,광주 북구 충효동 439-1
국립광주과학관,35.2298556,126.8499256,광주 북구 오룡동 1-6
국립광주박물관,35.18883898,126.8828509,광주 북구 매곡동 산 83-3
신광사(광주),35.16903122,126.9402503,광주 북구 두암동 193
오리요리의거리,35.16141639,126.905932,광주 북구 신안동 7-16
원효사,35.14851211,126.9854526,광주 북구 금곡동 846
중외공원,35.18014633,126.8828711,광주 북구 운암동 산 35-6
충장사,35.16273461,126.978882,광주 북구 금곡동 1023
환벽당,35.18581116,127.0031752,광주 북구 충효동 387
5·18기념공원,35.15627391,126.8568918,광주 서구 쌍촌동 1268
광주양동시장,35.15412419,126.9022594,광주 서구 양동 5-101
김대중컨벤션센터,35.14704521,126.8405502,광주 서구 치평동 1159-2
무각사,35.15436279,126.85669,광주 서구 쌍촌동 1268-1
운천저수지,35.14809509,126.8547223,광주 서구 쌍촌동 869-9
풍암호수공원,35.12947866,126.873473,광주 서구 풍암동 440
하정웅미술관(광주),35.15492259,126.8884606,광주 서구 농성동 311-1
