관광지명(소재지역),위도,경도,주소
갑곶돈대,37.73267538,126.5179046,인천 강화군 강화읍 갑곳리 1022
강화덕진진,37.64918611,126.5254363,인천 강화군 불은면 덕성리 355
강화도,37.70918421,126.4485551,인천 강화군 불은면 삼성리
강화동막해변,37.59289609,126.4575804,인천 강화군 화도면 동막리 7-3
강화문학관,37.74961761,126.4856403,인천 강화군 강화읍 관청리 394-1
강화산성,37.75465426,126.4779209,인천 강화군 강화읍 관청리 산 43-1
강화서도중앙교회,37.64360439,126.2442753,인천 강화군 서도면 주문도리 716
강화선원사지,37.71915773,126.4922479,인천 강화군 선원면 지산리 692-1
강화씨사이드리조트,37.61714988,126.4981742,인천 강화군 길상면 선두리 산 343-2
강화아르미애월드,37.70343664,126.4349765,인천 강화군 불은면 삼성리 1027-42
강화역사박물관/자연사박물관,37.77450698,126.434797,인천 강화군 하점면 부근리 814
강화오상리고인돌군,37.7307219,126.4000753,인천 강화군 내가면 오상리 산 124
강화중앙시장,37.74696481,126.4839068,인천 강화군 강화읍 신문리 205-5
강화참성단,37.61563208,126.4298198,인천 강화군 화도면 문산리 산 55
강화초지진,37.63252025,126.5323079,인천 강화군 길상면 초지리 624-1
강화충렬사,37.72635802,126.4668944,인천 강화군 선원면 선행리 371
강화향교,37.75371626,126.4785085,인천 강화군 강화읍 관청리 938-2
강화화문석문화관,37.7957917,126.454815,인천 강화군 송해면 양오리 630-1
건평항,37.67967927,126.3991081,인천 강화군 양도면 건평리 623-16
계룡돈대,37.72438233,126.3536345,인천 강화군 내가면 황청리 282
고려궁지,37.75125827,126.4850253,인천 강화군 강화읍 관청리 743-1
고려산,37.74392501,126.4372556,인천 강화군 내가면 고천리 산 131-1
고려천도공원,37.80394732,126.4627081,인천 강화군 송해면 당산리 388-1
광성보,37.66514005,126.5298093,인천 강화군 불은면 덕성리 27
교동대룡시장,37.78048938,126.2810492,인천 강화군 교동면 대룡리 573
교동도(강화),37.78831914,126.2630568,인천 강화군 교동면 삼선리
교동읍성,37.76870301,126.2956385,인천 강화군 교동면 읍내리 391
교동제비집,37.78143316,126.2795076,인천 강화군 교동면 대룡리 449
교동향교,37.77532878,126.2968787,인천 강화군 교동면 읍내리 148
난정리전망대,37.77628783,126.2296577,인천 강화군 교동면 난정리 729
남산포선착장,37.76297555,126.2909582,인천 강화군 교동면 읍내리 698
덕산국민여가캠핑장,37.71758558,126.380501,인천 강화군 내가면 고천리 산 494
도솔미술관,37.64200543,126.5065739,인천 강화군 길상면 장흥리 388-7
동검선착장,37.58618112,126.5251256,인천 강화군 길상면 동검리 109-2
마니산(강화),37.61554131,126.4296812,인천 강화군 화도면 문산리 산 55
망양돈대,37.70092235,126.3745346,인천 강화군 내가면 외포리 680
무태돈대,37.77157124,126.3550535,인천 강화군 하점면 창후리 산 151-4
민머루해수욕장,37.65128826,126.3334228,인천 강화군 삼산면 매음리 871-2
백련사(강화),37.75073685,126.4379484,인천 강화군 하점면 부근리 231
보문사(강화),37.68881563,126.3214866,인천 강화군 삼산면 매음리 629
볼음도,37.67424184,126.1891029,인천 강화군 서도면 볼음도리
분오리돈대,37.59017655,126.4618302,인천 강화군 화도면 동막리 1
삼랑성(정족산성),37.6321684,126.4891744,인천 강화군 길상면 온수리 산 41-3
석모도,37.69508865,126.3281871,인천 강화군 삼산면 석모리
석모도미네랄온천,37.68550158,126.3127183,인천 강화군 삼산면 매음리 645-27
석모도수목원,37.69119045,126.3264944,인천 강화군 삼산면 석모리 산 133-2
석모도자연휴양림,37.69963904,126.3154373,인천 강화군 삼산면 석모리 산 154-2
석모도칠면초군락지,37.67360546,126.3762987,인천 강화군 삼산면 석포리 24-8
석포리선착장,37.69402733,126.3676173,인천 강화군 삼산면 석포리
소창체험관,37.74576283,126.4851201,인천 강화군 강화읍 신문리 84-2
어류정항,37.6450352,126.3442927,인천 강화군 삼산면 매음리 855-41
연등국제선원,37.67136589,126.48332,인천 강화군 길상면 길직리 85
연무당옛터,37.74758342,126.4772842,인천 강화군 강화읍 관청리 1099
연미정,37.77094871,126.5119154,인천 강화군 강화읍 월곳리 242
연산군유배지,37.78160169,126.2924512,인천 강화군 교동면 고구리 산 233
옥토끼우주센터,37.6741991,126.4871634,인천 강화군 불은면 두운리 1026
외포리선착장,37.70043985,126.3809294,인천 강화군 내가면 외포리 547-93
외포항젓갈수산시장,37.70080986,126.3784771,인천 강화군 내가면 외포리 547-77
용진진,37.70915762,126.5137634,인천 강화군 선원면 지산리 216
용흥궁,37.74791348,126.485752,인천 강화군 강화읍 관청리 441
이건창생가,37.61645811,126.4567115,인천 강화군 화도면 사기리 167-3
장곶돈대,37.6346605,126.3682295,인천 강화군 화도면 장화리 113
장화리일몰조망지,37.6177545,126.3776966,인천 강화군 화도면 장화리 1351
적석사,37.73714795,126.4108781,인천 강화군 내가면 고천리 210-3
전등사,37.63214569,126.4847789,인천 강화군 길상면 온수리 635
전원미술관,37.76660804,126.4587247,인천 강화군 송해면 솔정리 502-2
정수사(강화),37.60778229,126.4456035,인천 강화군 화도면 사기리 467-3
조양방직,37.74678339,126.480958,인천 강화군 강화읍 신문리 587
주문도,37.64404493,126.2427254,인천 강화군 서도면 주문도리
창후리선착장,37.77057385,126.3532371,인천 강화군 하점면 창후리
청련사(강화),37.74612301,126.4484309,인천 강화군 강화읍 국화리 547
티앤림자연휴양림,37.71482742,126.4538845,인천 강화군 불은면 삼성리 1068-1
프렌쥬랜드,37.62527875,126.4860905,인천 강화군 길상면 선두리 655-7
해든뮤지움,37.61213853,126.5088598,인천 강화군 길상면 장흥리 211-5
해명산,37.67526909,126.3542829,인천 강화군 삼산면 매음리
화개사,37.77646981,126.2930359,인천 강화군 교동면 읍내리 489-1
황청포구,37.71224218,126.3536821,인천 강화군 내가면 황청리 812-1
후애돈대,37.60111815,126.4885941,인천 강화군 길상면 선두리 954
후포항선수포구,37.6374779,126.3920794,인천 강화군 화도면 내리 1793
논현포대근린공원,37.40502052,126.7063073,인천 남동구 논현동 648-1
늘솔길공원,37.39294742,126.721428,인천 남동구 논현동 738-8
늘솔길공원양떼목장,37.39588609,126.720473,인천 남동구 논현동 738-8
새우타워전망대,37.39396405,126.7336726,인천 남동구 논현동 775
소래습지생태공원,37.41241003,126.7473723,인천 남동구 논현동 1-55
소래포구,37.39902663,126.7371851,인천 남동구 논현동 680-1
