관광지명(소재지역),위도,경도,주소
가일미술관,37.66040328,127.3794818,경기 가평군 청평면 삼회리 609-6
가평사계절썰매장,37.75486495,127.4021687,경기 가평군 상면 덕현리 159-1
가평삼회생태복원지구,37.69954793,127.3929435,경기 가평군 청평면 삼회리 178-2
가평향교,37.82997138,127.5075972,경기 가평군 가평읍 읍내리 551-2
가평현암농경유물박물관,37.88038002,127.5481859,경기 가평군 북면 이곡리 13-45
강씨봉자연휴양림,37.96966612,127.4090689,경기 가평군 북면 적목리 324
강촌레일파크(가평역),37.82897063,127.5158437,경기 가평군 가평읍 읍내리 395-1
국립유명산자연휴양림,37.59293356,127.4910548,경기 가평군 설악면 가일리 산 35
귀목봉,37.94434845,127.3968875,경기 가평군 북면 적목리
꿈의동산,37.78366477,127.4865642,경기 가평군 청평면 상천리 3
나인포레스트이화원,37.81799202,127.5186407,경기 가평군 가평읍 대곡리 57-3
남송미술관,37.9045153,127.4723055,경기 가평군 북면 백둔리 198-9
대성리국민관광지,37.68005415,127.379854,경기 가평군 청평면 대성리 601-6
대원사(가평),37.89479761,127.5021677,경기 가평군 북면 제령리 656-2
명지계곡,37.93594351,127.4862354,경기 가평군 북면 도대리 623
명지산생태전시관,37.9360394,127.4876636,경기 가평군 북면 도대리 240-6
백련사(가평),37.78420859,127.3498448,경기 가평군 상면 연하리 366
쁘띠프랑스,37.71499518,127.4905368,경기 가평군 청평면 고성리 616-2
산장관광지,37.75431234,127.4119155,경기 가평군 상면 덕현리 20-13
아침고요가족동물원,37.74813831,127.3615888,경기 가평군 상면 임초리 622-13
아침고요수목원,37.74300402,127.3516612,경기 가평군 상면 행현리 622-4
어비계곡,37.58246877,127.5323812,경기 양평군 옥천면 용천리 86
에델바이스스위스테마파크,37.66778896,127.4474799,경기 가평군 설악면 이천리 304-31
용추계곡,37.85987297,127.4791796,경기 가평군 가평읍 승안리 산 223
월사집목판,37.80392913,127.3335592,경기 가평군 상면 태봉리 산 115-1
유명산,37.57528381,127.4865726,경기 가평군 설악면 가일리 산 58-1
유명산계곡,37.58035859,127.4989874,경기 가평군 설악면 가일리
이방실장군묘,37.81053422,127.4869188,경기 가평군 가평읍 하색리 산 81
이정구선생묘,37.80434919,127.3328435,경기 가평군 상면 태봉리 산 115-1
이천보고가,37.79857146,127.3480868,경기 가평군 상면 연하리 226
인터렉티브아트뮤지엄,37.74349646,127.5106367,경기 가평군 가평읍 복장리 140
자라섬,37.81575236,127.5279467,경기 가평군 가평읍 달전리 30
자연과별천문대,37.91294828,127.4740424,경기 가평군 북면 백둔리 122-3
조무락계곡,37.98768013,127.4488467,경기 가평군 북면 적목리
조종암,37.80107658,127.3749466,경기 가평군 조종면 대보리 산 176-1
청평자연휴양림,37.71081495,127.4084674,경기 가평군 청평면 삼회리 33-1
청평호반,37.73426709,127.417218,경기 가평군 청평면 청평리 80-7
청평호반매운탕촌,37.72238909,127.4251955,경기 가평군 설악면 회곡리
칼봉산자연휴양림,37.83727358,127.4648149,경기 가평군 가평읍 경반리 산 137
통방산,37.63368852,127.4560304,경기 가평군 설악면 천안리 산 71-5
피노키오와다빈치,37.71691237,127.4907695,경기 가평군 청평면 고성리 617
한국초콜릿연구소뮤지엄,37.6897713,127.3784013,경기 가평군 청평면 대성리 산 182-3
현등사(가평),37.87066846,127.3308231,경기 가평군 조종면 운악리 산 163
호명호수공원,37.76052815,127.4660717,경기 가평군 청평면 상천리 1431-1
화악터널쌈지공원,37.99699402,127.5261865,경기 가평군 북면 화악리 산 228-1
화야산,37.67157269,127.4279114,경기 가평군 청평면 삼회리 산 69
