관광지명(소재지역),위도,경도,주소
경산시립박물관,35.81405693,128.7632114,경북 경산시 사동 655-1
경산향교,35.82169108,128.7414727,경북 경산시 중방동 760
경흥사(경산),35.77219035,128.7057511,경북 경산시 남천면 산전리 806
금호서원,35.68002047,128.6698037,경북 청도군 이서면 흥선리 산 44
남매지,35.82757935,128.744558,경북 경산시 계양동 325
반곡지,35.78041876,128.8066042,경북 경산시 남산면 반곡리 246
반룡사(경산),35.77273457,128.9294032,경북 경산시 용성면 용전리 118-1
불굴사(경산),35.94521867,128.7786836,경북 경산시 와촌면 강학리 5
삼성현역사문화관,35.80163778,128.7966658,경북 경산시 남산면 인흥리 250
선본사(경산),35.98727115,128.7391257,경북 경산시 와촌면 대한리 587
안흥사(경산),35.82655361,128.7160405,경북 경산시 중산동 641
원효암(경산),35.97981531,128.7671838,경북 경산시 와촌면 대한리 382
제석사(경산),35.82180164,128.8213025,경북 경산시 자인면 북사리 226-1
천성암(경산),35.97996897,128.7756329,경북 경산시 와촌면 대동리 산 30-8
하양포교당(경산),35.91861121,128.817631,경북 경산시 하양읍 도리리 91-1
혜광사(경산),35.81760468,128.7379093,경북 경산시 삼북동 222
감포항,35.8067936,129.5055064,경북 경주시 감포읍
건천편백나무숲,35.83534335,129.0711735,경북 경주시 건천읍 송선리 산 166-1
경주골굴사,35.80235283,129.4066283,경북 경주시 문무대왕면 안동리 산 304
경주김유신묘,35.84577463,129.1910016,경북 경주시 충효동 산 7-10
경주남산,35.78868218,129.2227024,경북 경주시 배동 산 72-6
경주대릉원일원,35.84091153,129.2085737,경북 경주시 노서동 111-6
경주동궁과월지,35.83477626,129.2269755,경북 경주시 인왕동 506-1
경주동궁원,35.84950709,129.2616606,경북 경주시 북군동 185-1
경주동부사적지대,35.83518068,129.2179254,경북 경주시 황남동 104-1
경주문무대왕릉,35.73826159,129.4868767,경북 경주시 문무대왕면 봉길리 30-1
경주보리사,35.81215168,129.235578,경북 경주시 배반동 산 67
경주보문관광단지,35.84278443,129.2864572,경북 경주시 신평동 375
경주서출지,35.79640762,129.2423543,경북 경주시 남산동 974-1
경주세계문화엑스포공원,35.83086564,129.2883479,경북 경주시 천군동 130
경주솔거미술관(솔거미술관),35.82879724,129.2890851,경북 경주시 천군동 130
경주신문왕릉,35.81797187,129.2460429,경북 경주시 배반동 453-1
경주양남주상절리전망대,35.6907836,129.4745775,경북 경주시 양남면 읍천리 195-6
경주오릉,35.82319495,129.2082906,경북 경주시 탑동 74-3
경주월드,35.83625257,129.282066,경북 경주시 천군동 191-5
경주월성(반월성),35.83043616,129.2205872,경북 경주시 교동 387-1
경주읍성,35.84662622,129.2137477,경북 경주시 동부동 2-8
경주첨성대,35.83471481,129.2190002,경북 경주시 인왕동 839-1
경주향교,35.83122714,129.2169844,경북 경주시 교동 18-8
경주황룡사지,35.83839935,129.2326064,경북 경주시 구황동 786-3
관성솔밭해변,35.65943382,129.4517715,경북 경주시 양남면 수렴리 489-19
국립경주박물관,35.8292339,129.2279503,경북 경주시 인왕동 76
금관총,35.841094,129.2098226,경북 경주시 노서동 104
금장대,35.86074045,129.2010358,경북 경주시 석장동 산 38-9
기림사,35.83801097,129.4028567,경북 경주시 문무대왕면 호암리 417
나정고운모래해변,35.78228955,129.491499,경북 경주시 감포읍 나정리 1
마우나오션리조트,35.6843271,129.3691969,경북 경주시 양남면 신대리 1265
망월사(경주),35.80146734,129.2105291,경북 경주시 배동 490
백률사(경주),35.8588527,129.231408,경북 경주시 동천동 406-1
보문정(경주),35.84095853,129.2896007,경북 경주시 신평동 150-1
보문호,35.84460639,129.277538,경북 경주시 신평동 719-1
봉길대왕암해변,35.7399169,129.4839477,경북 경주시 문무대왕면 봉길리
분황사,35.84104465,129.2339233,경북 경주시 구황동 312
블루원워터파크,35.82595648,129.2896895,경북 경주시 천군동 1686
삼불사,35.80203925,129.2107883,경북 경주시 배동 산 65-2
서악서원,35.82767525,129.188728,경북 경주시 서악동 615
송대말등대,35.80722829,129.5113557,경북 경주시 감포읍 오류리 583-3
연지암(경주),35.75353281,129.3278941,경북 경주시 외동읍 활성리 378
오류고아라해변,35.82131662,129.5095207,경북 경주시 감포읍 오류리
용굴,35.79154128,129.495999,경북 경주시 감포읍 전촌리 27-3
우양미술관,35.84159385,129.2859063,경북 경주시 신평동 370
운곡서원(경주),35.94069369,129.3020794,경북 경주시 강동면 왕신리 310
월정교,35.82929955,129.2181213,경북 경주시 교동 274
전촌솔밭해변,35.78611228,129.4910301,경북 경주시 감포읍 전촌리 1236
주사암(경주),35.85331213,129.0500823,경북 경주시 서면 천촌리 1195
진평왕릉,35.83204948,129.2504851,경북 경주시 보문동 608
천룡사(경주),35.7656974,129.2238158,경북 경주시 내남면 용장리 산 132-1
천마총(대릉원),35.83815,129.2123347,경북 경주시 황남동 268-10
화랑의언덕,35.77204424,129.084331,경북 경주시 산내면 내일리 산 260-6
황리단길,35.83933482,129.2096454,경북 경주시 황남동 270-10
개경포공원,35.70991338,128.3581101,경북 고령군 개진면 오사리
고령고아리벽화고분,35.71609515,128.2710396,경북 고령군 대가야읍 고아리 산 13-1
고령대가야유적지,35.72501899,128.2540245,경북 고령군 대가야읍 지산리 산 23-1
고령지산동고분군,35.72627226,128.2531025,경북 고령군 대가야읍 지산리 산 23-1
고령향교,35.72911406,128.2650438,경북 고령군 대가야읍 연조리 608
관음사(고령),35.73285986,128.2663764,경북 고령군 대가야읍 연조리 206
다산딸기조합농원,35.84483436,128.4166537,경북 고령군 다산면 노곡리 101-16
다산문화공원,35.81376047,128.4730736,경북 고령군 다산면 호촌리 1102
대가야생활촌,35.71190452,128.2692493,경북 고령군 대가야읍 고아리 658
대가야수목원,35.72824569,128.2860869,경북 고령군 대가야읍 장기리 5-8
대가야역사테마관광지,35.71895826,128.2610198,경북 고령군 대가야읍 지산리 471-1
도암서원(고령),35.71617349,128.2466676,경북 고령군 쌍림면 고곡리 25
매림서원,35.68440066,128.2241645,경북 고령군 쌍림면 송림리 98
미천공원,35.80185947,128.1948697,경북 고령군 덕곡면 노리 481
반룡사(고령),35.73183771,128.2159019,경북 고령군 쌍림면 용리 187
우륵박물관,35.74234623,128.2637763,경북 고령군 대가야읍 쾌빈리 162
중화유원지(중화지),35.7438486,128.2523952,경북 고령군 대가야읍 중화리 82
구미과학관,36.10223538,128.4003564,경북 구미시 진평동 704
구미성리학역사관,36.1146765,128.3135656,경북 구미시 남통동 산 28-7
구미에코랜드,36.17716945,128.4624735,경북 구미시 산동읍 인덕리 280
구미채미정,36.11259407,128.3128978,경북 구미시 남통동 249
금오랜드놀이동산,36.11293149,128.3163107,경북 구미시 남통동 253
금오산도립공원,36.09320569,128.3075633,경북 구미시 남통동 산 33
금오산케이블카,36.10840955,128.3070934,경북 구미시 남통동 산 24-12
