관광지명(소재지역),위도,경도,주소
가덕도대항인공동굴,35.01397997,128.8345798,부산 강서구 대항동 산 11
가덕도등대,34.99015796,128.8289645,부산 강서구 대항동 162-1
가덕도연대봉,35.02684727,128.8340062,부산 강서구 천성동 산 6-98
거가대교홍보전시관,35.02361173,128.8067488,부산 강서구 천성동 산 255-1
대저생태공원,35.1990397,128.9731367,부산 강서구 대저1동 1-34
대저수문생태공원,35.22995298,128.9923057,부산 강서구 대저1동 279-9
대항선착장,35.01225902,128.8272679,부산 강서구 대항동
대항전망대,35.01656375,128.8257993,부산 강서구 대항동 산 1-4
델타루(에코델타시티전망대),35.13622874,128.9219456,부산 강서구 대저2동 5438-3
맥도생태공원,35.15230846,128.9548991,부산 강서구 대저2동 1200-28
명지동근린공원,35.08700394,128.9065236,부산 강서구 명지동 3247
명지시장,35.11277368,128.9316204,부산 강서구 명지동 1-377
보람공원,35.08833323,128.8443705,부산 강서구 송정동 1718
부산자원순환협력센터,35.13308768,128.8823093,부산 강서구 생곡동 1532-1
신호공원,35.08192641,128.8703188,부산 강서구 신호동 315-1
울림공원,35.10197846,128.9272512,부산 강서구 명지동 3392
청량사(부산),35.11775881,128.919046,부산 강서구 명지동 445
화전공원,35.10561305,128.879564,부산 강서구 화전동 582-1
국청사(부산),35.25394032,129.0546784,부산 금정구 금성동 397
금강식물원,35.2260503,129.0771253,부산 동래구 온천동 산 1-7
금강암(부산),35.28176609,129.0650413,부산 금정구 청룡동 산 2-1
금정산성,35.25150853,129.045455,부산 금정구 금성동 1097
땅뫼산,35.24600596,129.1170127,부산 금정구 오륜동 355-2
미륵사(부산),35.27398239,129.0489123,부산 금정구 금성동 1-1
부산범어사,35.28391004,129.0681444,부산 금정구 청룡동 546
서동미로시장/서동시장,35.21581342,129.1029942,부산 금정구 서동 241
스포원파크,35.29118589,129.1052152,부산 금정구 두구동 1641
오륜대전망대,35.25031741,129.1124539,부산 금정구 오륜동 산 130
오륜대한국순교자박물관,35.24606579,129.1015916,부산 금정구 부곡동 1-4
요산문학관,35.27239009,129.0857582,부산 금정구 남산동 662
킴스아트필드미술관,35.25237645,129.0540105,부산 금정구 금성동 285
허브랑야생화,35.25430672,129.0527893,부산 금정구 금성동 산 10-1
홍법사(부산),35.30383007,129.1104148,부산 금정구 두구동 1220-7
곰내연밭,35.29536944,129.1695135,부산 기장군 철마면 웅천리 254-4
국립달음산자연휴양림,35.30270154,129.1853909,부산 기장군 일광읍 용천리 산 252
국립부산과학관,35.20464038,129.2127078,부산 기장군 기장읍 석산리 293
기장향교,35.25765465,129.2158886,부산 기장군 기장읍 교리 62
묘관음사,35.32309341,129.2660467,부산 기장군 장안읍 임랑리 15
박태준기념관,35.31690119,129.2610838,부산 기장군 장안읍 임랑리 120-3
부산기장시장,35.24353616,129.2152846,부산 기장군 기장읍 대라리 72-1
부산라벤더팜,35.25898663,129.1477962,부산 기장군 철마면 장전리 1-19
부산롯데월드,35.19604352,129.2132068,부산 기장군 기장읍 시랑리 산 46
부산치유의숲,35.26947102,129.1295694,부산 기장군 철마면 장전리 산 180-2
석탑사,35.3230574,129.1613604,부산 기장군 정관읍 용수리 산 144
소두방공원,35.32896249,129.1845606,부산 기장군 정관읍 방곡리
수산과학관(부산),35.19333259,129.2243357,부산 기장군 기장읍 시랑리 408-1
신평소공원,35.29379129,129.2605648,부산 기장군 일광읍 신평리 11-1
아홉산숲,35.28704317,129.1715156,부산 기장군 철마면 웅천리 26
안데르센동화마을,35.36009835,129.2400298,부산 기장군 장안읍 기룡리 산 127
안적사(부산),35.21407169,129.1698025,부산 기장군 기장읍 내리 692
오시리아해안산책로,35.19840756,129.2298786,부산 기장군 기장읍 시랑리 62-17
옥정사,35.31120496,129.2222343,부산 기장군 일광읍 원리 705-11
월명사(부산),35.2696636,129.2162465,부산 기장군 일광읍 횡계리 산 28-1
은진사,35.33592083,129.2779646,부산 기장군 장안읍 길천리 438-3
이동항,35.27179384,129.24468,부산 기장군 일광읍 이천리 170-8
일광해수욕장,35.25990676,129.2337567,부산 기장군 일광읍 삼성리 116-9
임랑해수욕장,35.31903253,129.2640556,부산 기장군 장안읍 임랑리 1-75
장안사(부산),35.3748144,129.2328661,부산 기장군 장안읍 장안리 598
정관박물관,35.32705092,129.1830313,부산 기장군 정관읍 방곡리 442
척판암(부산),35.37440957,129.2239412,부산 기장군 장안읍 장안리 606-1
칠암항,35.29866164,129.2601375,부산 기장군 일광읍 칠암리
학리항(학리방파제),35.26010925,129.2454496,부산 기장군 일광읍 학리 260-19
해광사,35.20558891,129.2254561,부산 기장군 기장읍 연화리 473-1
해동성취사,35.33858505,129.2752077,부산 기장군 장안읍 길천리 464-1
해동용궁사(부산),35.18840282,129.2231431,부산 기장군 기장읍 시랑리 416-3
감만시장,35.11653407,129.0823996,부산 남구 감만동 171-2
국립일제강제동원역사관,35.12434367,129.0919129,부산 남구 대연동 1147-3
남광시장,35.12382204,129.0887187,부산 남구 대연동 1170-8
부산동명불원,35.11915617,129.1040114,부산 남구 용당동 507-8
부산박물관,35.12957822,129.094381,부산 남구 대연동 948-1
성암사(부산),35.14563109,129.0800732,부산 남구 문현동 산 13-5
