관광지명(소재지역),위도,경도,주소
가라산,34.75457595,128.623538,경남 거제시 남부면 다대리
가조도,34.96026876,128.5216959,경남 거제시 사등면 창호리
거제관광모노레일,34.87715745,128.6231563,경남 거제시 고현동 362
거제도포로수용소유적공원,34.87635187,128.6254371,경남 거제시 고현동 362
거제도해금강,34.73332844,128.683703,경남 거제시 남부면 갈곶리 산 1
거제도해수보양온천,34.89162855,128.6347042,경남 거제시 양정동 976-14
거제맹종죽테마공원,34.96767786,128.6505267,경남 거제시 하청면 실전리 880-1
거제민속박물관,34.94995023,128.6772211,경남 거제시 연초면 명동리 390
거제박물관,34.89402978,128.6862027,경남 거제시 옥포동 1565
거제식물원,34.85681404,128.5780919,경남 거제시 거제면 서정리 978
거제씨월드,34.8358811,128.7014614,경남 거제시 일운면 소동리 478-1
거제알로에테마파크,34.83569071,128.5602688,경남 거제시 거제면 내간리 산 121-3
거제어촌민속전시관,34.83360524,128.7017949,경남 거제시 일운면 지세포리 929-88
거제우제봉전망대,34.73050231,128.675054,경남 거제시 남부면 갈곶리 산 2-16
거제유호리전망대,35.01502688,128.7174951,경남 거제시 장목면 유호리 산 85-2
거제자연예술랜드,34.81589341,128.6237305,경남 거제시 동부면 구천리 428
거제자연휴양림,34.78569962,128.6259438,경남 거제시 동부면 구천리 산 103
거제칠천도크루즈유람선,34.9806753,128.6467141,경남 거제시 하청면 어온리 587
거제향교,34.85261956,128.5898459,경남 거제시 거제면 서정리 626
거제현관아,34.85114148,128.5912213,경남 거제시 거제면 동상리 415-2
고현성,34.88071134,128.6198335,경남 거제시 고현동 717
공곶이,34.79454392,128.7136259,경남 거제시 일운면 와현리 87
구영해수욕장,35.0313536,128.6910757,경남 거제시 장목면 구영리
구조라성,34.80221256,128.6950524,경남 거제시 일운면 구조라리 산 55
구조라수변공원,34.80810372,128.6983813,경남 거제시 일운면 구조라리 33-1
구조라항,34.80503403,128.6979905,경남 거제시 일운면 구조라리
구조라해수욕장,34.80696534,128.69289,경남 거제시 일운면 구조라리 423-1
궁농항,35.00122789,128.702854,경남 거제시 장목면 송진포리 121-7
근포땅굴,34.72292896,128.5910853,경남 거제시 남부면 저구리 423
김영삼전대통령생가,34.93158581,128.7151977,경남 거제시 장목면 외포리 1383-3
내도(거제),34.78544921,128.7140713,경남 거제시 일운면 와현리 산 107
노을이물드는언덕,34.95471898,128.5192243,경남 거제시 사등면 창호리 1475
노자산,34.78452259,128.616197,경남 거제시 동부면 구천리 산 103
농소몽돌해변,35.00458049,128.7010571,경남 거제시 장목면 송진포리 50-5
능포수변공원,34.88674704,128.7347173,경남 거제시 능포동 564-25
능포항,34.88500043,128.7376173,경남 거제시 능포동
대금산(거제),34.95159132,128.6999778,경남 거제시 연초면 명동리 산 21
대포항/대포근포항,34.71507762,128.5860471,경남 거제시 남부면 저구리 637-3
덕원해수욕장,34.77889966,128.5755578,경남 거제시 동부면 가배리
덕포해수욕장,34.91078957,128.7105156,경남 거제시 덕포동 364-4
도장포유람선,34.7420282,128.6626736,경남 거제시 남부면 갈곶리 292-6
독봉산웰빙공원,34.8773094,128.6342817,경남 거제시 상동동 369
동백섬지심도터미널,34.86729856,128.7275826,경남 거제시 장승포동 703-2
동부저수지,34.81250743,128.6239219,경남 거제시 동부면 구천리 395
두모몽돌해변,34.97998211,128.6949811,경남 거제시 장목면 관포리
망치몽돌해수욕장,34.81246048,128.6677636,경남 거제시 일운면 망치리
매미성,34.96830597,128.7051175,경남 거제시 장목면 대금리 1
명사해수욕장,34.72642651,128.6036912,경남 거제시 남부면 저구리 265-8
물안해수욕장,35.01081795,128.652471,경남 거제시 하청면 어온리 14-7
바람의언덕,34.74462102,128.6631492,경남 거제시 남부면 갈곶리 산 14-47
반곡서원(거제),34.85223404,128.5958824,경남 거제시 거제면 동상리 364
북병산,34.82244982,128.6565812,경남 거제시 일운면 망치리 산 76
사곡해수욕장,34.89880787,128.5721518,경남 거제시 사등면 사곡리 757-1
산달도,34.81255111,128.5366037,경남 거제시 거제면 법동리
산방산(거제),34.86155288,128.5392227,경남 거제시 둔덕면 상둔리 산 173
산방산비원,34.86036916,128.5266676,경남 거제시 둔덕면 산방리 197
수달생태공원,34.82073021,128.6359347,경남 거제시 동부면 구천리 195-1
수협효시공원,34.92951709,128.5251418,경남 거제시 사등면 창호리 2080
숲소리공원,34.85903171,128.6042231,경남 거제시 거제면 서상리 산 13
시방선착장,34.96489705,128.7091194,경남 거제시 장목면 시방리 731-23
신선대전망대,34.73781541,128.6647968,경남 거제시 남부면 갈곶리 산 21-21
앵산,34.94058906,128.6139476,경남 거제시 하청면 덕곡리 산 71
양지암조각공원,34.88042536,128.7381422,경남 거제시 능포동 427-2
