관광지명(소재지역),위도,경도,주소
각연사(괴산),36.75478738,127.9270776,충북 괴산군 칠성면 태성리 39-1
갈론계곡(갈은구곡),36.73419084,127.8530309,충북 괴산군 칠성면 사은리 959
개심사(괴산),36.81506631,127.7944829,충북 괴산군 괴산읍 동부리 428-1
계담서원,36.87105173,127.8639172,충북 괴산군 감물면 이담리 1009-1
공림사,36.63126006,127.8169943,충북 괴산군 청천면 사담리 11
괴산고산정및제월대,36.81787349,127.8310865,충북 괴산군 괴산읍 제월리 산 16-2
괴산군수관사,36.81080372,127.7942809,충북 괴산군 괴산읍 동부리 551
괴산사담리망개나무자생지,36.62117732,127.8105583,충북 괴산군 청천면 사담리 산 8-1
괴산송덕리미선나무자생지,36.79556216,127.9376671,충북 괴산군 장연면 송덕리 산 58-13
괴산원풍리마애불좌상,36.79191043,128.0231091,충북 괴산군 연풍면 원풍리 산 124-2
괴산율지리미선나무자생지,36.77144631,127.8683717,충북 괴산군 칠성면 율지리 산 19-1
괴산적석리소나무,36.75940564,127.9672341,충북 괴산군 연풍면 적석리 산 31-1
괴산정인지묘소,36.92621656,127.8210377,충북 괴산군 불정면 외령리 산 44
괴산칠보산,36.74005847,127.9278532,충북 괴산군 칠성면 쌍곡리 산 19-1
괴산트리하우스가든,36.88793637,127.8180341,충북 괴산군 불정면 앵천리 산 12
괴산한지체험박물관,36.78542862,128.014845,충북 괴산군 연풍면 원풍리 437
괴산향교,36.8153429,127.7888038,충북 괴산군 괴산읍 서부리 104
김시민장군충민사,36.83605582,127.8471298,충북 괴산군 괴산읍 능촌리 57
낙영산,36.64148309,127.8339108,충북 괴산군 청천면 화양리 산 14-27
도명산,36.65262787,127.8168945,충북 괴산군 청천면 화양리 산 14-3
목도강변유원지,36.88223748,127.8318643,충북 괴산군 불정면 목도리 864
문광저수지,36.76793,127.7508273,충북 괴산군 문광면 양곡리 774-1
백운사(괴산),36.85494998,127.6677742,충북 괴산군 사리면 소매리 산 20-1
보광사(괴산),36.81946776,127.6841027,충북 괴산군 사리면 사담리 산 2-30
보광산관광농원,36.80629365,127.6813006,충북 괴산군 사리면 수암리 796-1
보안사(괴산),36.75832878,127.6545587,충북 괴산군 청안면 효근리 395
사담계곡유원지,36.61906152,127.8234341,충북 괴산군 청천면 사담리 105
사담관광농원,36.62212863,127.8071453,충북 괴산군 청천면 사담리 39-6
석보군묘각,36.7798733,127.6623536,충북 괴산군 청안면 조천리 산 107-1
석천암(괴산),36.67274772,127.9013393,충북 괴산군 청천면 삼송리 산 24
선유구곡(선유동계곡),36.67922901,127.8701275,충북 괴산군 청천면 삼송리 893
성불산자연휴양림,36.80803249,127.8468344,충북 괴산군 괴산읍 검승리 263-1
수옥정관광지,36.80910541,128.0310577,충북 괴산군 연풍면 원풍리 843
수옥폭포,36.80668475,128.0289174,충북 괴산군 연풍면 원풍리
악휘봉,36.73845686,127.9583728,충북 괴산군 칠성면 쌍곡리
연풍향교,36.7649395,127.9986065,충북 괴산군 연풍면 행촌리 590
연하협구름다리(산막이옛길),36.73962964,127.8370706,충북 괴산군 칠성면 사은리 940
우암송시열묘,36.66863778,127.811501,충북 괴산군 청천면 화양리 393-2
위정사,36.880431,127.9434225,충북 괴산군 장연면 광진리 289
조령산자연휴양림,36.81206292,128.0470183,충북 괴산군 연풍면 원풍리 산 1-1
채운암,36.66855248,127.8147552,충북 괴산군 청천면 화양리 412
청덕사,36.87270799,127.8506657,충북 괴산군 불정면 목도리 388
청안향교,36.77546723,127.6420826,충북 괴산군 청안면 읍내리 278
취묵당,36.83614709,127.843418,충북 괴산군 괴산읍 능촌리 산 4
한운사기념관,36.77399215,127.637554,충북 괴산군 청안면 읍내리 473
화양구곡(화양동계곡),36.6685133,127.8132369,충북 괴산군 청천면 화양리 456
화양동관광농원,36.64358619,127.8850045,충북 괴산군 청천면 삼송리 392-9
화양서원,36.66880775,127.8116818,충북 괴산군 청천면 화양리 393-2
환경문화전시장,36.65514605,127.7453723,충북 괴산군 청천면 선평리 197
후평숲유원지,36.65890451,127.7561076,충북 괴산군 청천면 후평리 200-12
고운골남한강갈대숲,37.02766442,128.3839277,충북 단양군 가곡면 사평리
구인사(단양),37.03345671,128.4811734,충북 단양군 영춘면 백자리 132-1
금수산,36.9847253,128.2569062,충북 제천시 수산면 상천리 산 12-1
단양강잔도,36.97796816,128.339651,충북 단양군 적성면 애곡리
단양고수동굴,36.98882995,128.3816951,충북 단양군 단양읍 고수리 130
단양금굴구석기유적지,36.99674572,128.3570637,충북 단양군 단양읍 도담리 산 4-18
단양다리안관광지,36.96475284,128.4208005,충북 단양군 단양읍 천동리 380-16
단양보발재,37.03515307,128.4730134,충북 단양군 영춘면 백자리 산 26-7
단양신라적성비,36.94442448,128.3210397,충북 단양군 단성면 하방리 산 3-1
단양적성,36.94516369,128.3216542,충북 단양군 단성면 하방리 산 3-1
단양향교,36.93742946,128.3229349,충북 단양군 단성면 상방리 137-1
단양향산리삼층석탑,37.0542431,128.4177258,충북 단양군 가곡면 향산리 471-11
대흥선사,36.85627599,128.3475881,충북 단양군 대강면 황정리 365-6
도담삼봉,37.0000843,128.3439707,충북 단양군 매포읍 하괴리 산 20-40
만천하스카이워크,36.98041263,128.3395703,충북 단양군 적성면 애곡리 산 1-27
미륵대흥사(단양),36.85646915,128.3473987,충북 단양군 대강면 황정리 365-6
북단양리조트,37.02637442,128.2888754,충북 단양군 적성면 각기리 124-8
선암계곡(하선암),36.90811058,128.3092245,충북 단양군 단성면 대잠리 295-2
소금정공원장미터널,36.97504357,128.3616553,충북 단양군 단양읍 상진리 산 3-6
소노문단양오션플레이,36.97692229,128.3618819,충북 단양군 단양읍 상진리 4-4
소백산자연휴양림,37.06065872,128.4673164,충북 단양군 영춘면 하리 639-1
소선암자연휴양림,36.92005177,128.3116876,충북 단양군 단성면 대잠리 산 382-1
수운정(단양),36.89003716,128.3446076,충북 단양군 대강면 직티리 산 20-1
영춘향교,37.08156738,128.488546,충북 단양군 영춘면 상리 461
이끼터널,36.96201708,128.3335193,충북 단양군 적성면 애곡리 129-2
장회나루,36.93316199,128.2552193,충북 단양군 단성면 장회리 25-1
제비봉,36.92173262,128.2712099,충북 단양군 단성면 외중방리 산 45-4
중선암,36.88034038,128.2980904,충북 단양군 단성면 가산리 704-2
천동관광지,36.97334195,128.4177283,충북 단양군 단양읍 천동리 201
구병산,36.46958296,127.8617335,충북 보은군 마로면 갈평리 산 13-1
국립속리산말티재자연휴양림(속리산말티재자연휴양림),36.49029632,127.7819372,충북 보은군 장안면 장재리 산 5-1
보은삼년산성,36.4886851,127.7424373,충북 보은군 보은읍 어암리 산 1-1
보은서원리소나무,36.48001516,127.8165283,충북 보은군 장안면 서원리 49-4
