관광지명(소재지역),위도,경도,주소
가양비래근린공원,36.35846524,127.4470746,대전 대덕구 비래동 108
금강로하스대청공원,36.47358036,127.4735565,대전 대덕구 미호동 57
대전중리전통시장,36.3661364,127.4262551,대전 대덕구 중리동 370-3
대전회덕동춘당,36.36497822,127.4414426,대전 대덕구 송촌동 192
비래사,36.37311079,127.4509828,대전 대덕구 비래동 468
삼정생태공원,36.44928557,127.4666046,대전 대덕구 삼정동 83
쌍청당,36.32005913,127.4570468,대전 동구 판암동 524-3
오정농수산물도매시장,36.35747685,127.4058638,대전 대덕구 오정동 44-1
장동만남공원,36.41317579,127.438629,대전 대덕구 장동
장동산림욕장,36.40433584,127.443868,대전 대덕구 장동 산 61
취백정,36.46796021,127.4714225,대전 대덕구 미호동 188
회덕향교,36.38406484,127.4215249,대전 대덕구 읍내동 134
김정선생묘소일원,36.35775593,127.4987798,대전 동구 신하동 268-5
대동하늘공원,36.33198066,127.4521045,대전 동구 용운동 산 40-1
대전계족산성,36.3956048,127.4536096,대전 대덕구 장동 산 85
대전문학관,36.3565876,127.4372239,대전 동구 용전동 78-38
대전중앙시장,36.32955171,127.4331992,대전 동구 원동 51-1
대전트래블라운지,36.330478,127.4299879,대전 동구 중동 26-14
대청호자연생태공원,36.37265481,127.4747047,대전 동구 추동 330
만인산자연휴양림,36.2021806,127.4551108,대전 동구 하소동 460-2
문충사,36.32475139,127.4601435,대전 동구 용운동 356-1
박팽년선생유허비,36.34781739,127.4527129,대전 동구 가양동 161-1
상소동산림욕장,36.23392574,127.4719269,대전 동구 상소동 산 1-1
세천유원지,36.32815886,127.4816126,대전 동구 세천동 산 76-9
슬픈연가촬영지,36.37874784,127.4860755,대전 동구 추동 680
식장산(식장산문화공원),36.30379494,127.4835525,대전 동구 세천동 산 43-3
옛터민속박물관,36.21510485,127.4408438,대전 동구 하소동 361-3
우암사적공원,36.34786121,127.4582386,대전 동구 가양동 65
추동인공생태습지,36.3733769,127.470771,대전 동구 추동 454-3
한밭교육박물관,36.33744458,127.4288477,대전 동구 삼성동 113-1
남선공원,36.34568202,127.3984459,대전 서구 탄방동 1084
내원사(대전),36.32259792,127.360253,대전 서구 도마동 424-1
대전곤충생태관,36.36694986,127.389658,대전 서구 만년동 396
대전보라매공원,36.35358481,127.3848532,대전 서구 둔산동 1544
대전시립미술관,36.36687254,127.3857131,대전 서구 만년동 396
도마큰시장,36.31649876,127.3817321,대전 서구 도마동 502
둔산선사유적지,36.36059481,127.3784355,대전 서구 월평동 281
바구스스파,36.32171834,127.3424822,대전 서구 도안동 1201
용화사(대전),36.3000526,127.3504033,대전 서구 가수원동 641-18
장태산자연휴양림,36.22088098,127.3386209,대전 서구 장안동 259
천연기념물센터(대전),36.36779489,127.3924925,대전 서구 만년동 396-1
한민시장,36.33450695,127.3842837,대전 서구 괴정동 88-6
한밭수목원,36.36994889,127.3880171,대전 서구 만년동 396
흑석유원지,36.26019944,127.3375532,대전 서구 흑석동 622
광수사,36.34249253,127.2980116,대전 유성구 계산동 714
국립대전숲체원,36.3243379,127.2912115,대전 유성구 성북동 산 1-13
국립대전현충원,36.3702359,127.2959333,대전 유성구 갑동 산 23-1
국립중앙과학관,36.3760691,127.3752118,대전 유성구 구성동 32-2
노은농수산물시장,36.36486698,127.3202882,대전 유성구 노은동 566
대전선사박물관,36.37184866,127.3238582,대전 유성구 노은동 523
대전시립박물관,36.33686403,127.335324,대전 유성구 상대동 488
대전시민천문대,36.38159591,127.3536709,대전 유성구 신성동 7-13
대전신흥사,36.33313963,127.4293598,대전 동구 중동 8-12
대전엑스포과학공원,36.37716309,127.3870834,대전 유성구 도룡동 3-1
대전엑스포아쿠아리움,36.37528718,127.3813795,대전 유성구 도룡동 3-1
대전컨벤션센터(DCC),36.3753146,127.3923898,대전 유성구 도룡동 4-19
대전통일관,36.37699163,127.388821,대전 유성구 도룡동 3-1
동화울수변공원,36.42455651,127.3944774,대전 유성구 관평동 771
방동저수지,36.28348328,127.3078884,대전 유성구 방동 20
봉명동우산거리,36.35850544,127.3452547,대전 유성구 봉명동 625
송강전통시장(송강재래시장),36.43507152,127.3872458,대전 유성구 송강동 49-4
수운교도솔천,36.42010608,127.3395106,대전 유성구 추목동 403-1
숭현서원지,36.3797877,127.4043749,대전 유성구 원촌동 산 35-1
여진불교미술관,36.41035409,127.4068522,대전 유성구 탑립동 442-1
유림공원,36.35997097,127.3574414,대전 유성구 봉명동 2-1
유성온천지구,36.35693509,127.3441828,대전 유성구 봉명동 537-12
은구비역사공원,36.37389367,127.3241007,대전 유성구 지족동 920
자광사(대전),36.3375428,127.312308,대전 유성구 학하동 777-6
지질박물관,36.3775545,127.3622782,대전 유성구 가정동 30
진잠향교,36.30380016,127.3152864,대전 유성구 교촌동 630-1
티놀자애니멀파크,36.41581456,127.3751041,대전 유성구 화암동 195
단재신채호선생생가지,36.23265172,127.4110409,대전 중구 어남동 233
대전목재문화체험장,36.30977106,127.4238414,대전 중구 대사동 190-9
대전아쿠아리움,36.31010528,127.4210685,대전 중구 대사동 198-14
대전오월드,36.2893534,127.3977541,대전 중구 사정동 117-1
