설치장소명,종류,경도,위도
"을지로입구역 1,2번 출구앞 교통섬",그늘막(고정형),126.9824892,37.5661981
"을지로입구역 3,4번출구 앞 교통섬",그늘막(고정형),126.9827733,37.5663887
"을지로입구역 5,6번 출구 앞 교통섬",그늘막(스마트형),126.9830109,37.5657758
"을지로입구역 7,8번 출구앞 교통섬",그늘막(스마트형),126.9819752,37.5658267
신한 L타워 앞,그늘막(고정형),126.9880784,37.5664879
기업은행본점(삼일대로방면),그늘막(고정형),126.9865612,37.5665015
기업은행본점(을지로 방면),그늘막(고정형),126.9865612,37.5665015
,그늘막(고정형),126.9871042,37.5657503
세븐일레븐 동국대점 앞,그늘막(고정형),126.9982987,37.5618706
기아오토큐 명동점 앞 교통섬,그늘막(고정형),126.9895487,37.5609433
매경미디어센터 앞,그늘막(고정형),126.9928422,37.5604895
GS칼텍스 앞,그늘막(고정형),126.9937135,37.560912
리라초등학교 정문 앞,그늘막(고정형),126.9879045,37.558413
퇴계로3가 한옥마을 버스정류장 옆,그늘막(고정형),126.9919014,37.5612776
동대입구역 3번 출구 앞,그늘막(고정형),127.0064967,37.5594692
동대입구역 2번 출구 앞,그늘막(고정형),127.0051618,37.5593065
동대입구역 6번 출구 앞,그늘막(고정형),127.0047668,37.5587528
장충체육관 맞은편,그늘막(고정형),127.008138,37.5584729
장충체육관 버스정류장 앞,그늘막(고정형),127.0068191,37.5581571
동대입구역 5번 출구 앞,그늘막(고정형),127.0047668,37.5587528
퇴계로5가 교차로-7,그늘막(고정형),127.0019696,37.5627761
퇴계로5가 교차로-8,그늘막(고정형),127.0022965,37.5626255
함흥에 겨울냉면 앞,그늘막(고정형),127.0052384,37.5601961
뚜레쥬르 장충동점 앞,그늘막(고정형),127.0066832,37.5610289
중구청 교차로-1,그늘막(고정형),126.9977576,37.5637354
중구청 교차로-2,그늘막(고정형),126.9986625,37.5641528
중구청 교차로-3,그늘막(고정형),126.9986076,37.5645137
광희동 사거리-1,그늘막(고정형),127.0057343,37.5643022
광희동 사거리-2,그늘막(고정형),127.007608,37.5645059
광희동 사거리 -3,그늘막(고정형),127.0067947,37.5638427
DDP역 13번 출구 앞,그늘막(고정형),127.0073146,37.5665004
DDP역 12번 출구 앞,그늘막(고정형),127.0069912,37.565761
기아모터스 앞,그늘막(고정형),126.9954921,37.5618828
퇴계로5가 교차로-1,그늘막(고정형),127.0021983,37.5635592
퇴계로5가 교차로-2,그늘막(고정형),127.0020856,37.5634385
퇴계로5가 교차로-3,그늘막(고정형),127.0032711,37.5638758
퇴계로5가 교차로-4,그늘막(고정형),127.0032711,37.5638758
퇴계로5가 교차로-5,그늘막(고정형),127.0032101,37.5631087
퇴계로5가 교차로-6,그늘막(고정형),127.0028923,37.5629792
오장동 사거리(국민은행 앞),그늘막(고정형),127.0028541,37.5644057
오장동 사거리(세븐일레븐 앞),그늘막(고정형),127.002154,37.5648885
청화빌딩 앞,그늘막(고정형),127.0047462,37.5640954
남산센트럴자이 앞,그늘막(고정형),126.9977687,37.5625468
남경빌딩 앞,그늘막(고정형),126.9987028,37.5625534
DDP앞 교통섬,그늘막(고정형),127.0080577,37.5661268
4호선,그늘막(스마트형),127.0078801,37.5657382
을지로3가 파출소 앞,그늘막(고정형),126.9928486,37.5661811
명보사거리-1,그늘막(고정형),126.9927373,37.5641262
명보사거리-2,그늘막(고정형),126.9932306,37.5646872
대림상가 앞,그늘막(고정형),126.9954275,37.5675231
을지로3가 교차로,그늘막(고정형),126.9928723,37.5665402
을지로5가 교차로,그늘막(고정형),127.0018116,37.5671089
힐스테이트 세운센트럴 1단지 앞,그늘막(고정형),126.993594,37.567873
힐스테이트 세운센트럴 1단지 맞은편,그늘막(고정형),126.9922193,37.5680329
광희문 주변-1,그늘막(고정형),127.0103602,37.5638587
광희문 주변-2,그늘막(고정형),127.0103602,37.5638587
광희문 주변-3,그늘막(고정형),127.010408,37.5636596
현대자동차 앞,그늘막(고정형),127.0164581,37.564289
청구역 1번 출구 앞,그늘막(고정형),127.0148786,37.5598874
새마을금고 신당동 지점 앞,그늘막(고정형),127.0150897,37.5630227
DDP역 3번 출구 앞,그늘막(고정형),127.0103363,37.5648926
퇴계로 383 앞,그늘막(고정형),127.0140947,37.5653019
다산로 203 앞,그늘막(고정형),127.0142501,37.5614836
흥인사거리-1,그늘막(고정형),127.0163495,37.5677152
흥인사거리-2,그늘막(고정형),127.0143768,37.5684729
흥인사거리-3,그늘막(고정형),127.0146908,37.5679027
신당역 9번 출구 앞,그늘막(고정형),127.0159094,37.5655391
신당역 12번 출구 앞,그늘막(고정형),127.0166438,37.5660339
청평화시장 사거리,그늘막(고정형),127.0149472,37.5694647
광희초등학교 정문 앞,그늘막(고정형),127.0146908,37.5679027
아우디 매장 앞,그늘막(고정형),127.008798,37.5568106
약수역 9번출구 앞,그늘막(고정형),127.0102433,37.5545931
약수역 2번 출구 앞,그늘막(고정형),127.0106508,37.5553674
양봉농협 앞,그늘막(고정형),127.011294,37.5564194
약수동 성결교회,그늘막(고정형),127.0070397,37.5494383
남산타운 정문 맞은편,그늘막(고정형),127.006994,37.5483231
피자헛 약수점 앞,그늘막(고정형),127.0118829,37.5575895
모닝글로리 약수점 앞,그늘막(고정형),127.0125184,37.5587204
약수역 9번 출구 앞,그늘막(고정형),127.0102433,37.5545931
우리은행 약수역지점 앞,그늘막(고정형),127.0098726,37.5531695
LG대리점 앞,그늘막(고정형),127.0117413,37.5538887
"41동, 남산타운 정문 앞",그늘막(고정형),127.0092806,37.5490132
약수역 3번 출구 앞,그늘막(고정형),127.0109841,37.5547732
약수역 6번 출구 앞,그늘막(고정형),127.0106296,37.5542494
약수역 5번 출구 앞,그늘막(고정형),127.0113293,37.5534555
SOBOL 매장 앞,그늘막(고정형),127.0077585,37.5496143
주차타워(다동),그늘막(고정형),127.0081387,37.5511632
청구역 3번 출구 앞,그늘막(고정형),127.0139604,37.5599594
버거킹 약수점 앞,그늘막(고정형),127.0117497,37.5562741
"111동, 신당삼성아파트 정문 앞",그늘막(고정형),127.0178958,37.5581685
