대명칭,경도,위도
부룡빌딩개방화장실,127.0511308,37.56847207
경우회관개방화장실,126.9223157,37.60310116
우풍골개방화장실,126.9249448,37.60374093
한샘빌딩개방화장실,126.9202191,37.6266846
황금충전소화장실,127.0758883,37.59414986
신설공중화장실,127.0242,37.57382889
금호4가공중화장실,127.020555,37.54817728
길1동주민센터,127.1426595,37.534699
종합시장D동상가본관지하1층개방화장실,127.0073293,37.57082067
종합시장D동상가본관지상3층개방화장실,127.0071915,37.57050839
버거킹(종로구청점)개방화장실,126.9805121,37.57251647
녹번시장개방화장실,126.9304419,37.60059883
개포우성3차상가,127.0560936,37.4840515
엠-프로젝트,126.9997523,37.58356019
제분빌딩,126.9753489,37.55886772
금풍빌딩,126.9904486,37.5634316
다동빌딩,126.982079,37.56794799
대일빌딩,126.9830337,37.56795453
신이문역앞공중화장실,127.0680153,37.60302257
용마폭포공중화장실,127.0892432,37.57397515
중화3동공중화장실,127.0741895,37.6023455
강남구보건소,127.0521334,37.5159947
신사동주민센터,127.0228243,37.52400555
강동구보건소,127.1254139,37.52926369
한화역사(주),126.9720331,37.55592923
태광산업,127.0037391,37.56182445
한국화이자,126.9840849,37.5604781
한주흥산,126.984035,37.56437621
동대문운동장공중화장실,127.0121078,37.56724822
동양생명,126.9865314,37.56520874
가양지구대,126.8501784,37.55926559
곰돌이공중화장실,126.8574517,37.56231441
가리봉1동주민센터,126.8899185,37.48085354
진달래공중화장실,126.8609928,37.5623792
구로1동주민센터,126.8758029,37.49308079
비둘기공중화장실,126.8629722,37.55950505
고척1동주민센터,126.8627657,37.50046324
강서경찰서,126.8499726,37.5514441
삼들공중화장실,127.053321,37.66794462
조원제1공영주차장,126.904661,37.48308385
공항동체육공원화장실,126.8121441,37.55573427
나들이공중화장실,126.8442774,37.57183638
수궁동주민센터,126.8314717,37.49394999
꽃동네공중화장실,126.8470847,37.57020608
온수근린공원화장실,127.0641764,37.66092731
실로암안과병원,126.8619443,37.5461864
상계1동수락산공중화장실,127.0702456,37.68759383
황금내공중화장실,126.8644367,37.56173117
